Natureza;CFOP;Origem;CST completo;CST ICMS;Alíq. ICMS;Alíq. IPI;Base reduzida;Itens;Notas;NCMs;Exemplos de NF-e;Leitura operacional
REMESSA MERCA POR CONTA E ORDEM TERCEIRO;6923;0;090;90;0;0;NÃO;4;4;85364900, 85389090;3589, 3601, 3756, 3792;"Operação especial; exigir justificativa e referência documental."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;5101;0;000;00;17;0;NÃO;6;3;73071910, 85381000;3544, 3663, 3664;"Combinação observada; validar finalidade antes de parametrizar."
REMESSA PARA CONSERTO DENTRO DO ESTADO;5915;0;050;50;0;0;NÃO;4;3;82022000, 84123190, 85371020;3622, 3736, 3742;"Operação de remessa/retorno com suspensão; exigir vínculo e controle de retorno."
REMESSA PARA CONSERTO FORA DO ESTADO;6915;0;050;50;0;0;NÃO;4;3;85044050, 85365090;3534, 3539, 3749;"Operação de remessa/retorno com suspensão; exigir vínculo e controle de retorno."
VENDA INDUSTRIALIZACAO DENTRO ESTADO;5101;0;000;00;17;3.25;NÃO;2;2;73089090, 73269090;3695, 3733;"Combinação observada; validar finalidade antes de parametrizar."
VENDA INDUSTRIALIZACAO DENTRO ESTADO;5101;0;000;00;12;0;NÃO;3;2;84609090;3743, 3768;"Combinação observada; validar finalidade antes de parametrizar."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;5102;0;000;00;17;3.25;NÃO;2;2;73262000;3583, 3587;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO DE COMPRA PARA INDUSTRIAL.;5201;0;000;00;4;6.5;NÃO;2;2;85362000;3746, 3779;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO DE COMPRA PARA INDUSTRIAL.;5201;0;000;00;12;0;NÃO;3;2;85366910, 85444900;3780, 3789;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO DE COMPRA PARA INDUSTRIAL.;5201;0;020;20;17;0;SIM;2;2;83111000, 85159000;3796, 3797;"Perfil com redução de base; validar elegibilidade do produto e cBenef SC820006."
DEVOLUCAO DE COMPRA PARA INDUSTRIAL.;5201;0;090;90;0;0;NÃO;2;2;64034000, 73143900;3615, 3751;"Combinação observada; validar finalidade antes de parametrizar."
VENDA INDUSTRIALIZACAO FORA ESTADO;6101;0;000;00;12;0;NÃO;2;2;84283300;3660, 3661;"Combinação observada; validar finalidade antes de parametrizar."
VENDA INDUSTRIALIZACAO FORA DO ESTADO;6101;0;000;00;12;0;NÃO;2;2;84798290, 85372090;3724, 3788;"Combinação observada; validar finalidade antes de parametrizar."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;6102;0;000;00;7;0;NÃO;4;2;84818092, 85444200, 90318099, 90319090;3574, 3785;"Combinação observada; validar finalidade antes de parametrizar."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;6119;2;200;00;4;3.25;NÃO;2;2;85364900;3588, 3755;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO DE COMPRA PARA INDUSTRIAL.;6201;1;100;00;4;0;NÃO;3;2;84669319;3718, 3738;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO DE COMPRA PARA INDUSTRIAL.;6201;2;200;00;4;0;NÃO;2;2;40103900, 90019010;3598, 3718;"Combinação observada; validar finalidade antes de parametrizar."
999 - ESTORNO DE NF-E NAO CANCELADA NO PRAZO LEGAL;1102;0;000;00;17;0;NÃO;1;1;85371020;3691;"Combinação observada; validar finalidade antes de parametrizar."
999 - ESTORNO DE NF-E NAO CANCELADA NO PRAZO LEGAL;1102;0;000;00;4;6.5;NÃO;1;1;85362000;3778;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO DE VENDA DE MERCADORIA ADQ REC. TERCEIROS E INDUST;1201;0;000;00;17;0;NÃO;1;1;85381000;3580;"Combinação observada; validar finalidade antes de parametrizar."
999 - ESTORNO DE NF-E NAO CANCELADA NO PRAZO LEGAL;1201;0;051;51;0;0;NÃO;1;1;85372090;3631;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO DE VENDA DE MERCADORIA ADQ REC. TERCEIROS E INDUST;1202;0;000;00;17;0;NÃO;3;1;85234990, 85389010, 85389090;3580;"Combinação observada; validar finalidade antes de parametrizar."
999 - ESTORNO DE NF-E NAO CANCELADA NO PRAZO LEGAL;1202;0;000;00;17;0;NÃO;1;1;85044050;3692;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO DE VENDA DE MERCADORIA ADQ REC. TERCEIROS E INDUST;1202;0;020;20;17;0;SIM;3;1;85365090, 85444900;3580;"Perfil com redução de base; validar elegibilidade do produto e cBenef SC820006."
999 - ESTORNO DE NF-E NAO CANCELADA NO PRAZO LEGAL;1915;0;050;50;0;0;NÃO;2;1;84123190;3744;"Combinação observada; validar finalidade antes de parametrizar."
999 - ESTORNO DE NF-E NAO CANCELADA NO PRAZO LEGAL;2202;1;100;00;4;0;NÃO;2;1;84669319;3737;"Combinação observada; validar finalidade antes de parametrizar."
999 - ESTORNO DE NF-E NAO CANCELADA NO PRAZO LEGAL;2202;2;200;00;4;0;NÃO;1;1;90019010;3737;"Combinação observada; validar finalidade antes de parametrizar."
OUTRA ENTRADA DE MERCADORIA OU PRESTACAO DE SERVICO NAO ESPE;2949;0;090;90;0;0;NÃO;1;1;84581199;3612;"Combinação observada; validar finalidade antes de parametrizar."
VENDA INDUSTRIALIZACAO DENTRO ESTADO;5101;0;000;00;17;9.75;NÃO;1;1;85371019;3766;"Combinação observada; validar finalidade antes de parametrizar."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;5101;0;051;51;0;0;NÃO;1;1;85381000;3581;"Combinação observada; validar finalidade antes de parametrizar."
VENDA INDUSTRIALIZACAO DENTRO ESTADO;5101;0;051;51;0;0;NÃO;1;1;85372090;3592;"Combinação observada; validar finalidade antes de parametrizar."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;5102;0;020;20;17;9.75;SIM;1;1;85365090;3608;"Perfil com redução de base; validar elegibilidade do produto e cBenef SC820006."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;5102;0;051;51;0;0;NÃO;6;1;85234990, 85365090, 85389010, 85389090, 85444900;3581;"Combinação observada; validar finalidade antes de parametrizar."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;5102;2;200;00;17;6.5;NÃO;1;1;73181300;3602;"Combinação observada; validar finalidade antes de parametrizar."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;5102;2;200;00;17;3.25;NÃO;1;1;73181300;3603;"Combinação observada; validar finalidade antes de parametrizar."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;5102;2;200;00;12;3.25;NÃO;1;1;73262000;3604;"Combinação observada; validar finalidade antes de parametrizar."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;5102;2;200;00;12;6.5;NÃO;1;1;73181500;3757;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO DE COMPRA PARA INDUSTRIAL.;5201;0;000;00;12;3.25;NÃO;1;1;72085200;3770;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO DE COMPRA PARA INDUSTRIAL.;5201;1;100;00;10;3.25;NÃO;1;1;72192200;3558;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO DE COMPRA PARA INDUSTRIAL.;5201;2;200;00;12;7.8;NÃO;1;1;84821010;3563;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO COMPRA;5553;2;220;20;17;0;SIM;1;1;84581199;3557;"Perfil com redução de base; validar elegibilidade do produto e cBenef SC820006."
VENDA INDUSTRIALIZACAO FORA DO ESTADO;6101;0;000;00;12;3.25;NÃO;1;1;84149020;3752;"Combinação observada; validar finalidade antes de parametrizar."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;6119;0;000;00;7;0;NÃO;1;1;85389090;3791;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO DE COMPRA PARA INDUSTRIAL.;6201;1;100;00;4;3.25;NÃO;1;1;85364100;3653;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO DE COMPRA PARA INDUSTRIAL.;6201;1;100;00;4;6.5;NÃO;1;1;74153300;3765;"Combinação observada; validar finalidade antes de parametrizar."
DEVOLUCAO DE COMPRA DE MATERIAL DE USO OU CONSUMO;6556;2;200;00;4;0;NÃO;4;1;73269090, 82032010, 82041100, 90172000;3560;"Combinação observada; validar finalidade antes de parametrizar."
RETORNO DE MERC. OU BEM RECEB. P. CONS.;6916;0;050;50;0;0;NÃO;1;1;73129000;3649;"Operação de remessa/retorno com suspensão; exigir vínculo e controle de retorno."
REMESSA PARA CONSERTO FORA DO ESTADO;6949;0;050;50;0;0;NÃO;1;1;85365090;3539;"Operação especial; exigir justificativa e referência documental."
REMESSA DE PRODUTO PARA DESTRUICAO;6949;0;090;90;0;0;NÃO;1;1;85332900;3620;"Operação especial; exigir justificativa e referência documental."

